Work_ID,Vendor_Name,Constituency,duplicate_risk_score,nearest_duplicate_work_id,nearest_similarity,duplicate_checked
WS/MP18117/2024-2025/142021,Multiplex Technologies,DHULE,45.591182708740234,WS/MP18117/2024-2025/142022,0.9092685580253601,True
WS/MP18117/2024-2025/142022,Multiplex Technologies,DHULE,45.591182708740234,WS/MP18117/2024-2025/142021,0.9092685580253601,True
WS/MP858/2024-2025/142023,BIDYUT BHANDARI,BOLPUR(SC),0.0,WS/MP632/2024-2025/142086,0.6603848934173584,True
WS/MP18250/2024-2025/142038,MA ENTERPRISE,BASIRHAT,0.0,,0.0,False
WS/MP18250/2025-2026/142039,MA ENTERPRISE,BASIRHAT,24.195911407470703,WS/MP18250/2024-2025/142043,0.8814547061920166,True
WS/MP18250/2024-2025/142043,MA ENTERPRISE,BASIRHAT,24.195911407470703,WS/MP18250/2025-2026/142039,0.8814547061920166,True
WS/MP18250/2024-2025/142044,MA ENTERPRISE,BASIRHAT,0.0,,0.0,False
WS/MP18250/2024-2025/142045,MA ENTERPRISE,BASIRHAT,0.0,,0.0,False
WS/MP632/2025-2026/142059,Mahindra and Mahindra Ltd,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142060,M S Communication,PATHANAMTHITTA,0.0,WS/MP632/2025-2026/142068,0.7447254657745361,True
WS/MP632/2025-2026/142061,Unknown,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142062,M S Communication,PATHANAMTHITTA,0.0,WS/MP18380/2024-2025/151959,0.3917877674102783,True
WS/MP632/2024-2025/142064,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142065,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142066,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142067,SAJID K A,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142068,Unknown,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142060,0.7447254657745361,True
WS/MP632/2024-2025/142069,M S Communication,PATHANAMTHITTA,62.938838958740234,WS/MP632/2024-2025/142070,0.9318205118179321,True
WS/MP632/2024-2025/142070,M S Communication,PATHANAMTHITTA,62.938838958740234,WS/MP632/2024-2025/142069,0.9318205118179321,True
WS/MP632/2025-2026/142072,Unknown,PATHANAMTHITTA,9.221434593200684,WS/MP632/2025-2026/142082,0.8619878888130188,True
WS/MP632/2024-2025/142073,M S Communication,PATHANAMTHITTA,20.999954223632812,WS/MP632/2025-2026/142080,0.877299964427948,True
WS/MP632/2025-2026/142074,M S Communication,PATHANAMTHITTA,43.11277389526367,WS/MP632/2024-2025/142069,0.9060466289520264,True
WS/MP632/2024-2025/142075,NATIONAL BOOK STALL KOTTAYAM,PATHANAMTHITTA,0.0,WS/MP18106/2024-2025/142121,0.5653063058853149,True
WS/MP632/2025-2026/142076,Unknown,PATHANAMTHITTA,0.0,WS/MP18106/2024-2025/142123,0.4701780080795288,True
WS/MP632/2025-2026/142077,Multiline Ventures,PATHANAMTHITTA,0.0,WS/MP743/2025-2026/142805,0.6540829539299011,True
WS/MP632/2024-2025/142079,M S Communication,PATHANAMTHITTA,27.403465270996094,WS/MP632/2024-2025/142070,0.8856245279312134,True
WS/MP632/2025-2026/142080,M S Communication,PATHANAMTHITTA,32.469173431396484,WS/MP632/2024-2025/142070,0.8922099471092224,True
WS/MP632/2025-2026/142081,Unknown,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142075,0.5608699917793274,True
WS/MP632/2025-2026/142082,M S Communication,PATHANAMTHITTA,14.898639678955078,WS/MP632/2024-2025/142086,0.8693682551383972,True
WS/MP632/2024-2025/142086,M S Communication,PATHANAMTHITTA,14.898639678955078,WS/MP632/2025-2026/142082,0.8693682551383972,True
WS/MP743/2025-2026/142089,Devarajan S,KANCHEEPURAM(SC),0.0,WS/MP743/2025-2026/142801,0.7139006853103638,True
WS/MP743/2024-2025/142090,R BASKAR,KANCHEEPURAM(SC),0.0,,0.0,False
WS/MP743/2024-2025/142091,E RAJESH,KANCHEEPURAM(SC),0.0,WS/MP743/2025-2026/142093,0.8160145282745361,True
WS/MP743/2025-2026/142092,C Nithyananthan,KANCHEEPURAM(SC),0.0,,0.0,False
WS/MP743/2025-2026/142093,Anburaja V,KANCHEEPURAM(SC),0.0,WS/MP743/2024-2025/142091,0.8160145282745361,True
WS/MP18106/2024-2025/142099,GP IKLOD,MORENA,0.0,,0.0,False
WS/MP743/2025-2026/142100,ABDO UTHIRAMERUR,KANCHEEPURAM(SC),0.0,WS/MP743/2025-2026/142093,0.527951180934906,True
WS/MP18106/2024-2025/142103,GP LADPURA,MORENA,0.0,WS/MP743/2025-2026/142093,0.523574709892273,True
WS/MP743/2025-2026/142104,K YUVARAJ,KANCHEEPURAM(SC),0.0,WS/MP18228/2024-2025/147658,0.20855563879013062,True
WS/MP18106/2024-2025/142105,GP SARANGPUR,MORENA,0.0,WS/MP18106/2024-2025/142106,0.7653188705444336,True
WS/MP18106/2024-2025/142106,Sarpch And Sachiv Gram Panchayat NITANWAS,MORENA,69.03868865966797,WS/MP18106/2024-2025/142107,0.9397503137588501,True
WS/MP18106/2024-2025/142107,GP RNAWAD,MORENA,69.03868865966797,WS/MP18106/2024-2025/142106,0.9397503137588501,True
WS/MP18106/2024-2025/142108,PANCH PARMEHSWAR GRAM PANCHAYAT NIMANIYA,MORENA,22.022083282470703,WS/MP18106/2024-2025/142107,0.8786287307739258,True
WS/MP457/2024-2025/142109,RAJA,VILUPPURAM(SC),0.0,WS/MP743/2025-2026/142802,0.6483105421066284,True
WS/MP429/2024-2025/142111,GRAM PANCHAYAT SAJAPANI,KORBA,0.0,WS/MP18106/2024-2025/142124,0.6062750816345215,True
WS/MP429/2024-2025/142112,GRAM PANCHAYAT JOGIPALI,KORBA,0.0,WS/MP18106/2024-2025/142119,0.638063371181488,True
WS/MP429/2024-2025/142113,COMMISSIONER MUNICIPALI CORPORATION SANSA,KORBA,0.0,WS/MP429/2024-2025/142112,0.6149881482124329,True
WS/MP18106/2024-2025/142118,GP LAKSHMANPURA,MORENA,16.323556900024414,WS/MP18106/2024-2025/142124,0.8712206482887268,True
WS/MP18106/2024-2025/142119,gp parwati baroda,MORENA,4.241787433624268,WS/MP18106/2024-2025/142124,0.8555143475532532,True
WS/MP18106/2024-2025/142120,Sarpch And Sachiv Gram Panchayat MATHA,MORENA,45.80970001220703,WS/MP18106/2024-2025/142124,0.9095526337623596,True
WS/MP18106/2024-2025/142121,GP GOPALPUR,MORENA,45.60406494140625,WS/MP18106/2024-2025/142123,0.909285306930542,True
WS/MP18106/2024-2025/142123,GP CHETIKHEDA,MORENA,45.60406494140625,WS/MP18106/2024-2025/142121,0.909285306930542,True
WS/MP18106/2024-2025/142124,GP KHITARPAL,MORENA,45.80970001220703,WS/MP18106/2024-2025/142120,0.9095526337623596,True
WS/MP18106/2024-2025/142125,DEHRI,MORENA,0.0,WS/MP18380/2024-2025/151962,0.6233242750167847,True
WS/MP720/2024-2025/142128,RK AGROTECH,CHITTORGARH,0.0,WS/MP18208/2025-2026/194590,0.39728930592536926,True
WS/MP585/2025-2026/142133,Unknown,AHMEDABAD EAST,0.0,WS/MP552/2025-2026/211235,0.4921764135360718,True
WS/MP549/2024-2025/142140,SHIV DURGA INDUSTRIES,BANKA,0.0,WS/MP18049/2025-2026/211244,0.5497179627418518,True
WS/MP549/2024-2025/142141,SHIV DURGA INDUSTRIES,BANKA,0.0,WS/MP549/2024-2025/142146,0.5476896166801453,True
WS/MP549/2024-2025/142142,SHIV DURGA INDUSTRIES,BANKA,57.14402770996094,WS/MP549/2024-2025/142146,0.9242872595787048,True
WS/MP549/2024-2025/142144,SHIV DURGA INDUSTRIES,BANKA,71.24231719970703,WS/MP549/2024-2025/142146,0.9426150321960449,True
WS/MP549/2024-2025/142145,SHIV DURGA INDUSTRIES,BANKA,0.0,WS/MP549/2024-2025/142146,0.8194752931594849,True
WS/MP549/2024-2025/142146,SHIV DURGA INDUSTRIES,BANKA,71.24231719970703,WS/MP549/2024-2025/142144,0.9426150321960449,True
WS/MP18238/2024-2025/142151,Priyanka yadau,SALEMPUR,67.25064086914062,WS/MP18238/2024-2025/142152,0.9374258518218994,True
WS/MP18238/2024-2025/142152,Priyanka yadau,SALEMPUR,67.25064086914062,WS/MP18238/2024-2025/142151,0.9374258518218994,True
WS/MP18238/2024-2025/142153,Priyanka yadau,SALEMPUR,13.832266807556152,WS/MP18238/2024-2025/142152,0.8679819703102112,True
WS/MP18238/2024-2025/142154,Priyanka yadau,SALEMPUR,19.372472763061523,WS/MP18238/2024-2025/142151,0.8751842379570007,True
WS/MP18238/2024-2025/142155,Priyanka yadau,SALEMPUR,50.82254409790039,WS/MP18238/2024-2025/142157,0.9160693287849426,True
WS/MP18238/2024-2025/142156,Priyanka yadau,SALEMPUR,32.67554473876953,WS/MP18238/2024-2025/142155,0.8924782276153564,True
WS/MP18238/2024-2025/142157,Priyanka yadau,SALEMPUR,60.50334548950195,WS/MP18238/2024-2025/142012,0.9286543726921082,True
WS/MP18238/2024-2025/142158,Priyanka yadau,SALEMPUR,7.984317779541016,WS/MP18238/2024-2025/142157,0.8603796362876892,True
WS/MP577/2025-2026/142167,Unknown,DAHOD(ST),0.0,WS/MP18199/2024-2025/142779,0.5308078527450562,True
WS/MP727/2024-2025/142174,SHREE GEENGER SAMAJ PANCHAYAT SOCIETY KOTA GIRDHARI,KOTA,0.0,WS/MP18106/2024-2025/142124,0.6653996109962463,True
WS/MP727/2024-2025/142175,SAPNA ENTERPRISES,KOTA,0.0,,0.0,False
WS/MP727/2024-2025/142176,Chacha Bhatija Contractor Sangod,KOTA,0.0,,0.0,False
WS/MP18337/2024-2025/142178,PRINCIPAL GOVT COLLEGE OF NURSING THRISSUR,ALATHUR(SC),0.0,,0.0,False
WS/MP632/2025-2026/142196,Unknown,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142197,Unknown,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142200,Unknown,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142201,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP386/2024-2025/142221,GP SANKHWAS,NAGAUR,0.0,,0.0,False
WS/MP386/2024-2025/142222,GP SANKHWAS,NAGAUR,30.928438186645508,WS/MP386/2024-2025/142223,0.8902069926261902,True
WS/MP386/2024-2025/142223,GP SANKHWAS,NAGAUR,30.928438186645508,WS/MP386/2024-2025/142222,0.8902069926261902,True
WS/MP386/2024-2025/142227,GRAM PANCHAYAT GWALOO,NAGAUR,0.0,,0.0,False
WS/MP386/2024-2025/142230,A One Electricals and Hardware,NAGAUR,0.0,,0.0,False
WS/MP386/2024-2025/142231,smc gups indokali,NAGAUR,0.0,,0.0,False
WS/MP386/2024-2025/142232,sdmc,NAGAUR,0.0,,0.0,False
WS/MP386/2024-2025/142233,sdmc,NAGAUR,0.0,WS/MP18404/2024-2025/142576,0.25707998871803284,True
WS/MP386/2024-2025/142235,GP SANKHWAS,NAGAUR,0.0,,0.0,False
WS/MP386/2024-2025/142246,SDMC GSSS ASAWARI,NAGAUR,0.0,,0.0,False
WS/MP632/2024-2025/142306,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142307,Multiline Ventures,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142308,Multiline Ventures,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142309,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142310,Monson Issac,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142326,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142327,SML ISUZU LTD,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142329,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142330,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142332,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2024-2025/142333,M S Communication,PATHANAMTHITTA,36.87702560424805,WS/MP632/2024-2025/142370,0.8979401588439941,True
WS/MP632/2024-2025/142369,M S Communication,PATHANAMTHITTA,55.47468566894531,WS/MP632/2024-2025/142370,0.9221171140670776,True
WS/MP632/2024-2025/142370,M S Communication,PATHANAMTHITTA,55.47468566894531,WS/MP632/2024-2025/142369,0.9221171140670776,True
WS/MP632/2024-2025/142371,Krishna Kumar K R,PATHANAMTHITTA,0.0,WS/MP858/2025-2026/137767,0.49567463994026184,True
WS/MP632/2024-2025/142374,MURALEEDHARAN NAIR PK,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142376,0.6043153405189514,True
WS/MP632/2025-2026/142375,Unknown,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142378,0.267934113740921,True
WS/MP632/2024-2025/142376,Unknown,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142374,0.6043153405189514,True
WS/MP632/2024-2025/142378,Unknown,PATHANAMTHITTA,49.5892333984375,WS/MP632/2024-2025/142379,0.9144660234451294,True
WS/MP632/2024-2025/142379,Unknown,PATHANAMTHITTA,49.5892333984375,WS/MP632/2024-2025/142378,0.9144660234451294,True
WS/MP632/2024-2025/142380,Unknown,PATHANAMTHITTA,0.0,WS/MP661/2024-2025/137790,0.4975196421146393,True
WS/MP632/2024-2025/142381,M S Communication,PATHANAMTHITTA,0.0959634855389595,WS/MP632/2024-2025/142383,0.8501247763633728,True
WS/MP632/2024-2025/142382,M S Communication,PATHANAMTHITTA,20.676393508911133,WS/MP632/2024-2025/142383,0.8768793344497681,True
WS/MP632/2024-2025/142383,M S Communication,PATHANAMTHITTA,20.676393508911133,WS/MP632/2024-2025/142382,0.8768793344497681,True
WS/MP632/2025-2026/142391,TATA MOTORS,PATHANAMTHITTA,0.0,WS/MP632/2025-2026/142392,0.4073377549648285,True
WS/MP632/2025-2026/142392,M S Communication,PATHANAMTHITTA,19.304157257080078,WS/MP632/2025-2026/142393,0.8750954270362854,True
WS/MP632/2025-2026/142393,M S Communication,PATHANAMTHITTA,19.304157257080078,WS/MP632/2025-2026/142392,0.8750954270362854,True
WS/MP632/2025-2026/142394,M S Communication,PATHANAMTHITTA,0.0,,0.0,False
WS/MP632/2025-2026/142396,M S Communication,PATHANAMTHITTA,0.0,WS/MP18215/2025-2026/198497,0.3876114785671234,True
WS/MP632/2024-2025/142397,Unknown,PATHANAMTHITTA,0.0,WS/MP18404/2024-2025/142623,0.30010974407196045,True
WS/MP632/2025-2026/142399,Unknown,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142406,0.6171621084213257,True
WS/MP632/2025-2026/142400,TATA MOTORS,PATHANAMTHITTA,0.0,WS/MP632/2024-2025/142406,0.40505027770996094,True
WS/MP632/2024-2025/142401,Multiline Ventures,PATHANAMTHITTA,0.0,WS/MP18032/2024-2025/143624,0.6281033754348755,True
WS/MP632/2026-2027/142402,Unknown,PATHANAMTHITTA,66.96664428710938,WS/MP632/2024-2025/142406,0.9370566606521606,True
WS/MP386/2024-2025/142403,GP KHADKALI,NAGAUR,0.0,WS/MP18032/2024-2025/143625,0.7322158813476562,True
WS/MP386/2024-2025/142404,GP KHADKALI,NAGAUR,0.0,WS/MP386/2024-2025/142422,0.644754946231842,True
WS/MP632/2024-2025/142406,M S Communication,PATHANAMTHITTA,66.96664428710938,WS/MP632/2026-2027/142402,0.9370566606521606,True
WS/MP632/2024-2025/142407,M S Communication,PATHANAMTHITTA,72.1326675415039,WS/MP632/2024-2025/142408,0.9437724947929382,True
WS/MP632/2024-2025/142408,M S Communication,PATHANAMTHITTA,72.1326675415039,WS/MP632/2024-2025/142407,0.9437724947929382,True
WS/MP632/2024-2025/142409,M S Communication,PATHANAMTHITTA,63.104862213134766,WS/MP632/2024-2025/142407,0.9320363402366638,True
WS/MP386/2024-2025/142410,AVVNL KHINWSAR,NAGAUR,0.0,WS/MP632/2024-2025/142407,0.39774709939956665,True
