"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"9545","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136127","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","22-Apr-2025","JF JAVID HUSSAIN","Payment Success","997170"
"9546","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136130","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","996515"
"9547","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136129","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","997526"
"9548","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136132","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","996901"
"9549","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136131","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","997293"
"9550","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136135","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","997437"
"9551","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136134","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","997389"
"9552","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136138","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","22-Apr-2025","JF JAVID HUSSAIN","Payment Success","997825"
"9553","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136137","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","997956"
"9554","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136136","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","996644"
"9555","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136139","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","24-Jul-2025","JF JAVID HUSSAIN","Payment Success","847010"
"9556","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP163/2024-2025/136126","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","22-Apr-2025","JF JAVID HUSSAIN","Payment Success","997331"
"9557","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","GAUTAM KUMAR","Payment Success","6500"
"9558","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2024-2025/146661","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","04-Jun-2025","GAUTAM KUMAR","Payment Success","7280"
"9559","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/217007","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","27-Nov-2025","GAUTAM KUMAR","Payment Success","7410"
"9560","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","CHOTYA BAIRWA","Payment Success","6500"
"9561","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","SUVITA","Payment Success","6500"
"9562","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","08-Aug-2025","SUVITA","Payment Success","6500"
"9563","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","deepak kumar meena","Payment Success","6500"
"9564","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","BHAGYA SHREE MEENA","Payment Success","11700"
"9565","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","RAJENDRA PRASAD GUPTA","Payment Success","10700"
"9566","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/102177","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Jun-2025","NETRAM MEENA","Payment Success","4021"
"9567","Maharashtra","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP108/2025-2026/221101","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","01-Dec-2025","Shree Shreyas Motors","Payment Success","1200000"
"9568","Maharashtra","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP108/2025-2026/250269","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","01-Dec-2025","Shree Shreyas Motors","Payment Success","852000"
"9569","Maharashtra","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP108/2025-2026/175375","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","20-May-2025","Shree Shreyas Motors","Payment Success","2875000"
"9570","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172142","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","24-Apr-2025","Gram Panchayat Vijaypur","Payment Success","175000"
"9571","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172142","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Mar-2026","Gram Panchayat Vijaypur","Payment Success","75000"
"9572","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172148","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","24-Apr-2025","Gram Panchayat Vijaypur","Payment Success","175000"
"9573","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172148","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Mar-2026","Gram Panchayat Vijaypur","Payment Success","75000"
"9574","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172152","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","24-Apr-2025","Gram Panchayat Vijaypur","Payment Success","175000"
"9575","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172152","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Mar-2026","Gram Panchayat Vijaypur","Payment Success","75000"
"9576","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172153","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","24-Apr-2025","Gram Panchayat Vijaypur","Payment Success","175000"
"9577","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172153","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Mar-2026","Gram Panchayat Vijaypur","Payment Success","75000"
"9578","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/172154","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","24-Apr-2025","Gram Panchayat Vijaypur","Payment Success","120000"
"9579","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP104/2025-2026/231012","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","05-Dec-2025","UTKARSH BAL KALYAM SAMITI","Payment Success","1750000"
"9580","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP104/2025-2026/231012","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","24-Apr-2026","UTKARSH BAL KALYAM SAMITI","Payment Success","750000"
"9581","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18303/2024-2025/149499","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","15-May-2025","SHANKAR BUILDING CONSTRUCTION","Payment Success","969272"
"9582","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156297","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","02-Apr-2025","SAROJ","Payment Success","3000"
"9583","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156291","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","05-May-2025","MUKESH KUMAR","Payment Success","3000"
"9584","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156287","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","07-Nov-2025","DEEPENDRA SINGH RAJAWAT","Payment Success","3000"
"9585","Assam","Construction of public irrigation facilities","WS/MP831/2024-2025/132614","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","17-May-2025","CONST OF SPILWAY AND PROTECTION OF CHETONAGURI","Payment Success","2250000"
"9586","Telangana","Construction of buildings for community cultural activities","WS/MP846/2024-2025/136896","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","24-Mar-2025","A Raja Reddy","Payment Success","200000"
"9587","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2024-2025/132618","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","26-Mar-2025","Southern Railway","Payment Success","1429385"
"9588","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/184479","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","07-May-2025","Executive Engnieer","Payment Success","2500000"
"9589","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2024-2025/176735","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Jun-2025","Yash Sales Co","Payment Success","290000"
"9590","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2024-2025/152550","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Jun-2025","Yash Sales Co","Payment Success","1000000"
"9591","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","23-Jan-2026","Delight Trading Company","Payment Success","748916"
"9592","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","16-May-2026","Delight Trading Company","Payment Success","723414"
"9593","Delhi","Street lights","WS/MP878/2025-2026/213675","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","23-Jan-2026","Delight Trading Company","Payment Success","701100"
"9594","Assam","Construction of buildings for multi-gym","WS/MP071/2024-2025/157665","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","25-Mar-2025","CC for Abhiruchi Institute","Payment Success","900000"
"9595","Assam","Construction of buildings for multi-gym","WS/MP071/2024-2025/157665","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","14-Jul-2025","CC for Abhiruchi Institute","Payment Success","600000"
"9596","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Prem Bricks Industry","Payment Success","37500"
"9597","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Prem Bricks Industry","Payment Success","37500"
"9598","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Nov-2025","Prem Bricks Industry","Payment Success","75000"
"9599","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2024-2025/164182","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","25-Mar-2025","Prem Bricks Industry","Payment Success","21000"
"9600","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP846/2024-2025/122715","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","07-Jan-2026","Cherla Rajesham","Payment Success","500000"
"9601","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP846/2024-2025/122708","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","26-Apr-2025","Cherla Rajesham","Payment Success","787073"
"9602","Telangana","Construction of buildings for crèches and anganwadies","WS/MP846/2024-2025/122714","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","26-Apr-2025","Cherla Rajesham","Payment Success","497965"
"9603","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP846/2024-2025/122719","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Cherla Rajesham","Payment Success","500000"
"9604","Kerala","Construction of rooms and halls in school and colleges","WS/MP099/2024-2025/132953","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","27-Mar-2025","SAJI C","Payment Success","2368505"
"9605","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP101/2026-2027/186008","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","22-Jul-2026","SAJI C","Payment Success","773901"
"9606","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP101/2026-2027/186008","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","17-Aug-2026","SAJI C","Payment Success","831941"
"9607","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2025-2026/179153","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","31-Jul-2025","SUMAN JAISWAL","Payment Success","1483556"
"9608","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150007","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","25-Mar-2025","SUMAN JAISWAL","Payment Success","1484381"
"9609","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/121530","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","06-Aug-2025","SUMITRA BEHERA","Payment Success","1000000"
"9610","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150008","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","25-Mar-2025","NISHA KUMARI","Payment Success","1484397"
"9611","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP053/2025-2026/179154","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","30-Jul-2025","NISHA KUMARI","Payment Success","1481666"
"9612","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2024-2025/165293","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","26-Mar-2025","ABHISHEK MOHANRAO RAUT","Payment Success","2438069"
"9613","Telangana","Providing supply pipelines for drinking water","WS/MP846/2024-2025/136899","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","16-Jun-2025","Gade Rathan prasad","Payment Success","349812"
"9614","West Bengal","Purchase of books and periodicals for libraries/digitization of library books","WS/MP888/2025-2026/207350","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","21-Feb-2026","SAJAL KUMAR KAR","Payment Success","19596132"
"9615","West Bengal","Purchase of books for public libraries/ digitization of library books","WS/MP888/2025-2026/140058","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","24-Apr-2025","SAJAL KUMAR KAR","Payment Success","13800426"
"9616","West Bengal","Purchase of furniture and fixtures for educational purposes","WS/MP888/2025-2026/207351","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","02-Jul-2026","SHIVCHANDI PRIVATE LIMITED","Payment Success","7557600"
"9617","West Bengal","Purchase of furniture and fixtures for educational purposes","WS/MP888/2025-2026/140127","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","22-Jul-2025","SHIVCHANDI PRIVATE LIMITED","Payment Success","9975000"
"9618","Punjab","Purchase of mobile water tankers","WS/MP140/2025-2026/180864","Tarn Taran(DEPUTY COMMOSSIONER TARN TARAN_IDA_2)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","02-Apr-2025","gp ratta gudda","Payment Success","365800"
"9619","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Kulwinder Singh so Anant Ram","Payment Success","8000"
"9620","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Diljit Singh so Sohan Singh","Payment Success","8000"
"9621","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Bakhsish Singh so Jeet Singh","Payment Success","9500"
"9622","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/212584","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","25-Nov-2025","VARSHITHA CONSTRUCTIONS","Payment Success","506760"
"9623","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/145229","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","27-Mar-2025","VARSHITHA CONSTRUCTIONS","Payment Success","508647"
"9624","Maharashtra","Construction of community centers and community halls","WS/MP108/2025-2026/190164","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","17-Jun-2025","SHRI MAUNGIRI MAJOOR SAHAKARI SANSTHA MARYADIT","Payment Success","998649"
"9625","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/145598","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","26-Apr-2025","MOHAMMED SHAMEER","Payment Success","430334"
"9626","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219866","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","27-Jan-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","945145"
"9627","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219866","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","16-Mar-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","260357"
"9628","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219866","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","06-Jul-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","170126"
"9629","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219866","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","06-Jul-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","46864"
"9630","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219863","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","25-May-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","811915"
"9631","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/219901","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","13-Feb-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","318692"
"9632","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/219901","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","08-May-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","92858"
"9633","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/219901","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","06-Jul-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","57365"
"9634","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219900","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","17-Dec-2025","THE BARTA CO OP  L AND C SOCIETY","Payment Success","629740"
"9635","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219900","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","17-Feb-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","113353"
"9636","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219900","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","10-Mar-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","105746"
"9637","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219900","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","06-Jul-2026","THE BARTA CO OP  L AND C SOCIETY","Payment Success","19034"
