"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5893","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205776","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","03-Sep-2025","GUNJAN  MATERIAL","Payment Success","749295"
"5894","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205776","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","30-Jun-2026","GUNJAN  MATERIAL","Payment Success","726705"
"5895","Jammu And Kashmir","Construction of community centers and community halls","WS/MP839/2024-2025/170349","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","15-Sep-2025","KARAN SINGH","Payment Success","450000"
"5896","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/251137","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","03-Jan-2026","RATHNAKUMARAN C K","Payment Success","672765"
"5897","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/217007","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","13-Nov-2025","SHITAl TRANSPORT COMPANY","Payment Success","865870"
"5898","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/217006","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","13-Nov-2025","SHITAl TRANSPORT COMPANY","Payment Success","868468"
"5899","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP148/2025-2026/220271","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","28-Jan-2026","SHITAl TRANSPORT COMPANY","Payment Success","563628"
"5900","Telangana","Construction of community centers and community halls","WS/MP171/2025-2026/216442","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","01-Sep-2025","ESLAVATH MANI","Payment Success","499669"
"5901","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/152607","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","09-Mar-2026","MAHAMUDI","Payment Success","3705"
"5902","Karnataka","Construction of buildings for community cultural activities","WS/MP18364/2025-2026/172649","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","06-Sep-2025","S K REVADI CONSTRUCTION","Payment Success","225000"
